,series,SpeciesID,SamplePurpose,Latitude,Longitude,Easting,Northing,Elevation,Patch_loc
114,RDC32,PIPO,FireScar,35.87528,-106.585709,356853.3515,3971276.324,2680.630127,Edge
115,RDC33,PIPO,FireScar,35.875295,-106.585894,356836.6766,3971278.259,2678.604248,Edge
116,RDC34,PIPO,DD,35.876125,-106.585009,356918.0676,3971369.031,2720.908447,Interior
117,RDC35,PIPO,FireScar,35.877201,-106.584283,356985.545,3971487.324,2747.852539,Edge
118,RDC36,PIPO,GC,35.87743,-106.584077,357004.5539,3971512.425,2760.455078,Edge
119,RDC37,PIPO,DD,35.877352,-106.58404,357007.754,3971503.719,2762.873291,Edge
120,RDC38,ABCO,FireScar,35.878299,-106.58496,356926.4018,3971610.112,2699.662842,Edge
121,RDC39,PIPO,FireScar,35.878449,-106.584416,356975.7821,3971625.954,2727.74707,Exterior
122,RDC40,QUGA,AGE,35.878223,-106.585581,356870.2031,3971602.591,2661.704834,Interior
123,RDC41,QUGA,AGE,35.878223,-106.585581,356870.2031,3971602.591,2661.704834,Interior
124,RDC42,ACGL,AGE,35.875403,-106.587608,356682.1309,3971292.75,2595.029541,Edge
125,RDC43,QUGA,AGE,35.875403,-106.587608,356682.1309,3971292.75,2595.029541,Edge
126,RDC44,ACGL,AGE,35.875403,-106.587608,356682.1309,3971292.75,2595.029541,Edge
127,RDC45,QUGA,AGE,35.875403,-106.587608,356682.1309,3971292.75,2595.029541,Edge
128,RDC50,QUGA,AGE,35.8679325,-106.5983435,355699.3784,3970479.874,2520.899902,Interior
129,RDC51,QUGA,AGE,35.8679325,-106.5983435,355699.3784,3970479.874,2520.899902,Interior
130,RDC52,JUSC,AGE,35.871838,-106.5968535,355840.9852,3970910.896,2685.100098,Interior
131,RDC53,QUGA,AGE,35.871838,-106.5968535,355840.9852,3970910.896,2685.100098,Interior
132,RDC54,QUGA,AGE,35.871838,-106.5968535,355840.9852,3970910.896,2685.100098,Interior
133,RDC55,QUGA,AGE,35.87293167,-106.595788,355939.1636,3971030.642,2635.400146,Interior
134,RDC56,QUGA,AGE,35.87293167,-106.595788,355939.1636,3971030.642,2635.400146,Interior
135,RDC57,PIPO,FireScar,35.87296139,-106.5956798,355948.986,3971033.779,2635.400146,Interior
136,RDC58,QUGA,AGE,35.87296139,-106.5956798,355948.986,3971033.779,2635.400146,Interior
137,RDC59,QUGA,AGE,35.87296139,-106.5956798,355948.986,3971033.779,2635.400146,Interior
138,RDC60,PIPO,FireScar,35.875341,-106.593019,356193.5128,3971293.821,2635.400146,Edge
139,RDC61,QUGA,AGE,35.8753204,-106.5929583,356198.9556,3971291.447,2635.400146,Edge
140,RDC62,QUGA,AGE,35.8753204,-106.5929583,356198.9556,3971291.447,2635.400146,Edge
141,RDC63,QUGA,AGE,35.87764051,-106.5921503,356276.0943,3971547.618,2635.400146,Edge
142,RDC64,QUGA,AGE,35.87764051,-106.5921503,356276.0943,3971547.618,2635.400146,Edge
143,RDC65,PIPO,FireScar,35.87758,-106.592116,356279.0815,3971540.856,2635.400146,Edge
144,SNN1,PIPO,FS,35.996666,-106.86677,331736.0917,3985190.061,2499.89917,Interior
145,SNN10,POTR,AGE,36.00631,-106.86074,332300.1039,3986249.502,2758.191406,Interior
146,SNN11,PIST,FS,36.006839,-106.859457,332416.8674,3986305.977,2786.459473,Edge
